smca,red,nombre_estacion,clave_estacion,nombre_contaminante,clave_contaminante,fecha,hora,valor,unidades,,Promedios mensuales y anual del Monoxido De Carbono,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,0,2.65,ppm,,MES 1,2.158388554
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,1,3.11,ppm,,MES 2,0.571345291
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,2,2.55,ppm,,MES 3,0.590716216
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,3,2.5,ppm,,MES 4,0.562883008
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,4,2.66,ppm,,MES 5,0.78289726
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,5,2.43,ppm,,MES 6,0.53661882
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,6,2.38,ppm,,MES 7,0.340191257
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,7,2.55,ppm,,MES 8,0.330013477
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,8,2.11,ppm,,MES 9,0.368207283
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,9,2.01,ppm,,MES 10,0.627522124
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,10,1.96,ppm,,MES 11,0.549106145
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,11,2,ppm,,MES 12,0.617405914
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,12,2.05,ppm,,AÑO 2022,0.669607946
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,13,2.09,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,14,2.08,ppm,,Promedios mensuales y anual deL Dioxido De Nitrogeno,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,15,2.04,ppm,,MES 1,0.00772103
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,16,2.14,ppm,,MES 2,0.013081933
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,17,2.3,ppm,,MES 3,0.014394595
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,18,2.28,ppm,,MES 4,0.011355153
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,19,2.36,ppm,,MES 5,0.010375505
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,20,2.7,ppm,,MES 6,0.007530508
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,21,3.81,ppm,,MES 7,0.007191257
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,22,2.52,ppm,,MES 8,0.027490169
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,01/01/2022,23,2.33,ppm,,MES 9,0.036085795
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,0,2.18,ppm,,MES 10,0.030545283
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,1,2.1,ppm,,MES 11,0.021828512
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,2,2.08,ppm,,MES 12,0.018554531
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,3,2.01,ppm,,AÑO 2022,0.017179523
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,4,2.03,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,5,2.13,ppm,,Promedios mensuales y anual del Ozono,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,6,2.25,ppm,,MES 1,0.021743446
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,7,2.32,ppm,,MES 2,0.025702087
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,8,2.12,ppm,,MES 3,0.021748212
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,9,2.16,ppm,,MES 4,0.02467094
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,10,2.07,ppm,,MES 5,0.026729496
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,11,2.12,ppm,,MES 6,0.027059028
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,12,2.05,ppm,,MES 7,0.039626427
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,13,2.11,ppm,,MES 8,0.028078303
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,14,2.05,ppm,,MES 9,0.023628655
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,15,2.15,ppm,,MES 10,0.024727941
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,16,2.12,ppm,,MES 11,0.018206416
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,17,2.33,ppm,,MES 12,0.020714092
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,18,2.62,ppm,,AÑO 2022,0.025219587
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,19,2.97,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,20,3.72,ppm,,Promedios mensuales y anual del Dioxido De Azufre,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,21,3.21,ppm,,MES 1,0.003184466
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,22,2.48,ppm,,MES 2,0.003113943
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,02/01/2022,23,2.4,ppm,,MES 3,0.003097297
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,0,2.23,ppm,,MES 4,0.003265335
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,1,2.29,ppm,,MES 5,0.004109986
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,2,2.2,ppm,,MES 6,0.002931699
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,3,2.18,ppm,,MES 7,0.002057534
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,4,2.15,ppm,,MES 8,0.00230758
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,5,2.33,ppm,,MES 9,0.003025352
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,6,2.7,ppm,,MES 10,0.003514683
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,7,3.18,ppm,,MES 11,0.002338912
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,8,3.11,ppm,,MES 12,0.003588315
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,9,2.79,ppm,,AÑO 2022,0.003044592
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,10,2.1,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,11,2.07,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,12,1.79,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,13,2.17,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,14,2.24,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,15,2.22,ppm,,,
